id,sentimento_op30,palavras_op30,sentimento_sent,palavras_sent,palavras
1,0,6,-1,1,27
2,-2,12,0,2,77
3,0,2,0,0,38
4,1,2,0,0,15
5,0,0,0,0,21
6,5,8,0,0,112
7,-1,3,0,1,28
8,1,3,0,2,30
9,-1,3,0,0,22
10,13,98,6,10,687
11,-1,2,-1,1,31
12,0,6,0,0,52
13,3,12,-3,5,121
14,7,17,0,4,178
15,1,7,-2,2,57
16,0,0,0,0,13
17,-1,13,-3,7,129
18,1,30,1,4,174
19,6,57,0,5,344
20,12,34,4,6,349
21,8,15,0,2,105
22,4,5,1,1,30
23,1,23,2,6,188
24,-8,30,-2,4,195
25,0,5,1,1,72
26,0,14,2,4,129
27,0,12,-2,2,129
28,1,52,13,13,464
29,0,1,0,0,21
30,10,27,3,7,221
31,0,5,0,0,47
32,2,9,-1,1,56
33,1,4,0,0,44
34,0,3,1,1,82
35,4,36,2,4,244
36,1,4,0,0,50
37,0,5,-1,1,35
38,-9,59,-3,8,615
39,-1,8,-2,2,58
40,-1,82,-1,11,646
41,0,15,0,3,73
42,0,7,0,0,106
43,-1,6,-1,1,47
44,14,37,4,6,408
45,1,14,2,2,80
46,0,8,1,1,49
47,3,29,1,3,200
48,-2,10,1,2,54
49,-5,12,-1,3,130
50,1,8,-1,3,136
51,-1,48,-5,9,340
52,1,9,-1,1,110
53,4,13,-2,3,117
54,-8,30,-2,4,195
55,0,0,0,0,15
56,4,17,0,2,135
57,-2,20,-2,3,133
58,2,38,2,12,391
59,-1,4,0,0,38
60,-2,22,-3,8,174
